names;prices;link_image
  Apple iPhone 12 128 Go ; 539 900 FCFA ;https://www.ivoiremobiles.net/21820-home_default/apple-iphone-12-64-go.jpg
  Apple iPhone 13 mini ; 459 900 FCFA ;https://www.ivoiremobiles.net/17845-home_default/apple-iphone-13-mini.jpg
  Apple iPhone 12 128 Go ; 389 900 FCFA ;https://www.ivoiremobiles.net/20898-home_default/apple-iphone-12-128-go.jpg
  Apple iPhone 12 Pro 128 Go ; 489 900 FCFA ;https://www.ivoiremobiles.net/23766-home_default/apple-iphone-12-pro.jpg
  Apple iPhone 12 Pro 256 Go ; 509 900 FCFA ;https://www.ivoiremobiles.net/23767-home_default/apple-iphone-12-pro-256-go.jpg
  Apple iPhone 14 Pro 128 Go ; 909 900 FCFA ;https://www.ivoiremobiles.net/23502-home_default/apple-iphone-14-pro-128-go.jpg
  Apple iPhone 14 Pro Max 128 Go ; 1 119 900 FCFA ;https://www.ivoiremobiles.net/23932-home_default/apple-iphone-14-pro-max-128-go.jpg
  Apple iPhone 14 Pro 256 Go ; 1 059 900 FCFA ;https://www.ivoiremobiles.net/23503-home_default/apple-iphone-14-pro-256-go.jpg
  Apple iPhone 14 Pro Max 256 Go ; 1 209 900 FCFA ;https://www.ivoiremobiles.net/23565-home_default/apple-iphone-14-pro-max-256-go.jpg
  Apple iPhone X 64 Go ; 169 900 FCFA ;https://www.ivoiremobiles.net/15887-home_default/apple-iphone-x-64-go.jpg
  Apple iPhone X 256 Go ; 189 900 FCFA ;https://www.ivoiremobiles.net/20929-home_default/apple-iphone-x-256-go.jpg
  Apple iPhone Xs Max 64 Go ; 229 900 FCFA ;https://www.ivoiremobiles.net/17976-home_default/apple-iphone-xs-max-64-go.jpg
  Apple iPhone Xs Max 256 Go ; 269 900 FCFA ;https://www.ivoiremobiles.net/20933-home_default/apple-iphone-xs-max-256-go.jpg
  Apple iPhone SE 2020 128 Go ; 289 900 FCFA ;https://www.ivoiremobiles.net/21347-home_default/apple-iphone-se-2020-128-go.jpg
  Apple iPhone SE 2020 64 Go ; 249 900 FCFA ;https://www.ivoiremobiles.net/21388-home_default/apple-iphone-se-2020-64-go.jpg
  Apple iPhone 6 16 Go ; 79 900 FCFA ;https://www.ivoiremobiles.net/20404-home_default/apple-iphone-6-16-go.jpg
  Apple iPhone 6 Plus 16 Go ; 99 900 FCFA ;https://www.ivoiremobiles.net/20406-home_default/apple-iphone-6-plus-16-go.jpg
  Apple iPhone 6 64 Go ; 84 900 FCFA ;https://www.ivoiremobiles.net/20405-home_default/apple-iphone-6-64-go.jpg
  Apple iPhone 6 32 Go ; 84 900 FCFA ;https://www.ivoiremobiles.net/18685-home_default/apple-iphone-6-32-go.jpg
  Apple iPhone 6 Plus 64 Go ; 94 900 FCFA ;https://www.ivoiremobiles.net/20407-home_default/apple-iphone-6-plus-64-go.jpg
  Apple iPhone 6 Plus 128 Go ; 379 900 FCFA ;https://www.ivoiremobiles.net/12907-home_default/apple-iphone-6-plus-16-go.jpg
  Apple iPhone Xs 64 Go ; 189 900 FCFA ;https://www.ivoiremobiles.net/20931-home_default/apple-iphone-xs-64-go.jpg
  Apple iPhone Xs 256 Go ; 209 900 FCFA ;https://www.ivoiremobiles.net/20932-home_default/apple-iphone-xs-256-go.jpg
  Apple iPhone 8 Plus 256 Go ; 579 900 FCFA ;https://www.ivoiremobiles.net/12958-home_default/apple-iphone-8-64-go.jpg
